Time;Peak to Peak (Axial);Peak to Peak (Radial);Peak to Peak (Tangential);Motor Supply Frequency ;Output Power;Temperature ;Overall Vibration ;Bearing Conditions 
06/13/2022 22:30:39;0.7578;0.7656;1.6797;29;2.19;54;5.901;1
06/13/2022 23:30:39;0.8750;0.7266;1.3281;29;3.79;54;4.522;1
06/14/2022 00:30:39;0.7813;0.7266;1.5469;29;0.71;54;6.515;1
06/14/2022 01:30:40;0.8594;0.7422;1.2109;30;4.30;55;3.755;1
06/14/2022 02:30:40;0.7344;0.7109;1.7734;29;3.26;55;6.783;1
06/14/2022 03:30:40;0.7734;0.8281;1.4453;29;2.86;55;7.319;1
06/14/2022 04:30:40;0.8828;0.7266;1.6328;29;5.51;54;4.177;1
06/14/2022 05:30:41;0.7031;0.7578;1.4844;30;10.68;54;5.748;1
06/14/2022 06:30:41;0.5938;0.6953;1.5313;30;3.20;54;4.675;1
06/14/2022 07:30:41;0.7500;0.7344;1.6875;30;2.22;55;5.671;1
06/14/2022 08:30:42;0.7188;0.7344;1.6484;30;2.05;54;6.400;1
06/14/2022 09:30:42;0.7500;0.7109;1.6641;30;5.38;55;5.518;1
06/14/2022 10:30:42;0.5938;0.6484;1.3906;30;3.80;55;3.947;0
06/14/2022 11:30:42;0.6406;0.8281;2.0625;30;6.30;55;6.476;1
06/14/2022 12:30:43;0.6797;0.6484;1.7734;30;12.19;55;4.139;1
06/14/2022 13:30:43;0.6250;0.6406;1.3906;30;3.54;55;5.365;1
06/14/2022 14:30:43;0.2031;0.2578;0.5000;12;2.08;57;0.651;0
06/14/2022 15:30:43;0.9063;0.8438;1.6094;29;1.33;54;7.089;1
06/14/2022 16:30:44;0.7109;0.6953;1.2813;29;0.37;54;6.055;1
06/14/2022 17:30:44;0.5703;0.7266;0.9453;29;3.81;55;3.219;1
06/14/2022 18:30:44;0.7031;0.8594;1.5000;29;3.66;55;6.285;1
06/14/2022 19:30:45;0.6094;0.7656;1.1797;29;0.68;55;4.982;1
06/14/2022 20:30:45;0.8672;0.8594;1.7422;29;7.27;55;7.702;1
06/14/2022 21:30:45;0.2734;0.3281;0.9219;29;2.72;57;2.223;1
06/14/2022 22:30:45;0.9297;0.7813;1.3828;29;2.60;54;4.445;1
06/14/2022 23:30:46;0.6953;0.6563;1.4219;29;11.86;55;3.602;1
06/15/2022 00:30:46;0.8984;0.7500;1.5313;29;2.45;55;5.595;1
06/15/2022 01:30:46;0.6484;0.7578;1.6406;29;7.65;55;6.400;1
06/15/2022 02:30:46;0.7266;0.7734;1.5391;29;3.34;55;6.629;1
06/15/2022 03:30:47;0.7969;0.7734;1.2734;29;2.23;55;4.637;1
06/15/2022 04:30:47;0.7344;0.6719;1.4688;29;3.69;54;4.982;2
06/15/2022 05:30:47;0.8750;0.8203;1.7500;29;4.39;54;7.817;1
06/15/2022 06:30:48;0.8359;0.7656;1.6875;29;12.71;54;7.013;1
06/15/2022 07:30:48;0.8906;0.7266;1.3359;29;3.80;54;4.139;1
06/15/2022 08:30:48;0.7891;0.7969;1.4141;11;0.82;54;3.985;0
06/15/2022 09:30:48;0.2344;0.2578;0.5703;29;2.00;56;1.111;1
06/15/2022 10:30:49;0.8516;0.8594;1.2734;28;0.62;53;4.713;1
06/15/2022 11:30:49;0.6250;0.7891;1.2813;29;0.93;53;5.173;1
06/15/2022 12:30:49;0.8438;0.7344;1.2891;29;7.75;53;3.832;1
06/15/2022 13:30:49;0.5547;0.7813;1.0938;29;3.68;54;3.411;1
06/15/2022 14:30:50;0.8594;0.8281;1.5156;29;4.10;54;4.905;1
06/15/2022 15:30:50;0.8281;0.7500;1.3594;28;3.86;55;3.947;1
06/15/2022 16:30:50;0.5938;0.6484;1.2266;29;1.73;55;4.790;1
06/15/2022 17:30:51;0.9453;0.8203;1.5313;29;15.28;55;7.434;1
06/15/2022 18:30:51;0.8359;0.6875;1.3750;29;3.60;55;5.940;1
06/15/2022 19:30:51;0.7422;0.7344;1.3516;29;1.99;55;3.755;1
06/15/2022 20:30:51;0.6406;0.7109;1.3672;29;3.15;55;7.281;1
06/15/2022 21:30:52;0.8438;0.7188;1.6016;29;1.61;55;6.936;2
06/15/2022 22:30:52;0.8516;0.7031;1.5469;29;4.69;55;4.943;1
06/15/2022 23:30:52;0.6641;0.6016;1.0938;29;9.89;54;3.717;1
06/16/2022 00:30:52;0.7188;0.5547;1.0547;29;3.18;54;3.334;1
06/16/2022 01:30:53;0.9375;0.8828;1.5938;29;7.82;54;7.702;1
06/16/2022 02:30:53;0.2891;0.2969;0.6094;29;1.12;56;0.996;1
06/16/2022 03:30:53;0.8203;0.8359;1.5313;29;1.41;53;7.319;1
06/16/2022 04:30:54;0.6641;0.8203;1.2422;29;2.91;53;5.825;1
06/16/2022 05:30:54;0.7422;0.8906;1.6953;29;4.54;54;7.587;1
06/16/2022 06:30:54;0.9063;0.7656;1.4844;29;4.96;54;5.940;1
06/16/2022 07:30:54;0.5781;0.6563;1.0391;29;3.62;54;3.181;1
06/16/2022 08:30:55;0.6328;0.7266;1.2734;10;1.91;54;4.330;1
06/16/2022 09:30:55;0.7188;0.7266;1.6875;10;0.65;54;4.215;0
06/16/2022 10:30:55;0.2578;0.2734;0.7734;10;0.42;56;2.184;0
06/16/2022 11:30:55;0.2656;0.2500;0.6641;10;0.15;53;2.453;0
06/16/2022 12:30:56;0.2813;0.3047;0.5938;12;1.99;51;2.184;1
06/16/2022 13:30:56;0.2891;0.3984;0.8125;17;3.03;49;2.108;0
06/16/2022 14:30:56;0.3203;0.8125;0.9609;29;1.76;48;1.303;1
06/16/2022 15:30:57;0.3750;0.5703;0.7656;29;5.12;48;1.878;1
06/16/2022 16:30:57;0.7266;0.9766;1.3828;29;4.72;50;6.285;1
06/16/2022 17:30:57;0.7734;0.7578;1.6797;29;0.49;52;8.124;1
06/16/2022 18:30:57;0.5938;0.6250;1.0625;29;2.26;53;3.334;2
06/16/2022 19:30:58;0.8047;0.6484;1.0703;28;2.22;54;4.292;1
06/16/2022 20:30:58;0.7969;0.8594;1.8359;29;11.66;54;6.974;1
06/16/2022 21:30:58;0.7578;0.6953;1.3359;28;5.81;54;5.901;1
06/16/2022 22:30:58;0.8281;0.7969;1.6641;29;1.05;54;7.587;1
06/16/2022 23:30:59;0.5547;0.6797;1.2422;29;2.87;54;3.985;1
06/17/2022 00:30:59;0.8203;0.8125;1.5313;29;1.86;54;7.664;1
06/17/2022 01:30:59;0.5781;0.7188;1.1641;29;3.66;54;4.215;1
06/17/2022 02:31:00;0.8047;0.6719;1.3828;29;1.99;54;4.905;1
06/17/2022 03:31:00;0.6797;0.7578;1.1719;29;4.26;53;4.139;0
06/17/2022 04:31:00;0.8438;0.8281;1.3984;28;0.40;53;4.292;1
06/17/2022 05:31:00;0.6094;0.6250;0.9688;29;2.13;53;3.296;1
06/17/2022 06:31:01;0.7656;0.7422;1.5391;12;2.13;54;5.020;0
06/17/2022 07:31:01;0.7813;0.7422;1.7031;28;8.67;53;7.243;1
06/17/2022 08:31:01;0.2813;0.3828;0.7891;28;2.04;56;1.571;1
06/17/2022 09:31:01;0.6484;0.7656;1.5000;28;9.42;56;6.438;1
06/17/2022 10:31:02;0.8125;0.6563;1.6094;28;7.13;59;7.396;1
06/17/2022 11:31:02;0.6172;0.5781;0.9375;28;4.11;57;3.027;1
06/17/2022 12:31:02;0.7422;0.7969;1.5234;29;9.55;56;6.629;1
06/17/2022 13:31:03;0.6953;0.7656;1.4922;28;3.88;55;4.522;1
06/17/2022 14:31:03;0.5938;0.7031;1.2109;28;2.65;55;3.947;1
06/17/2022 15:31:03;0.7969;0.6250;1.2344;28;1.13;55;3.411;1
06/17/2022 16:31:03;0.5859;0.6094;1.2188;28;2.87;55;4.407;1
06/17/2022 17:31:04;0.6797;0.7500;1.5000;14;3.93;55;3.526;0
06/17/2022 18:31:04;0.6563;0.7656;1.2500;29;1.93;55;4.139;1
06/17/2022 19:31:04;0.2891;0.4219;0.6875;28;0.68;56;3.640;1
06/17/2022 20:31:05;0.8594;0.7578;1.5938;28;3.52;54;6.131;1
06/17/2022 21:31:05;0.6875;0.7891;1.5469;28;11.44;54;6.476;1
06/17/2022 22:31:05;0.7813;0.8125;1.4297;28;1.96;54;5.403;1
06/17/2022 23:31:05;0.6094;0.6406;1.1719;29;3.36;54;4.905;1
06/18/2022 00:31:06;0.6328;0.6406;1.1484;29;1.70;54;5.633;1
06/18/2022 01:31:06;0.6875;0.6797;0.9766;29;7.47;54;3.257;1
06/18/2022 02:31:06;0.6563;0.7031;1.5469;29;2.81;54;6.936;1
06/18/2022 03:31:06;0.8594;0.7656;1.3359;29;3.80;54;4.215;1
06/18/2022 04:31:07;0.7422;0.7031;1.4531;29;5.27;54;6.898;1
06/18/2022 05:31:07;0.8906;0.8672;1.3359;29;3.59;54;4.867;2
06/18/2022 06:31:07;0.6563;0.6328;1.0547;28;7.01;54;3.257;1
06/18/2022 07:31:08;0.8047;0.8125;1.7656;28;5.03;54;6.974;1
06/18/2022 08:31:08;0.8047;0.6953;1.3203;29;0.99;54;5.633;1
06/18/2022 09:31:08;0.8281;0.7969;1.5938;28;2.03;54;7.089;1
06/18/2022 10:31:08;0.7734;0.7578;1.3047;29;11.30;54;5.978;1
06/18/2022 11:31:09;0.6094;0.6328;1.0547;29;9.03;55;3.066;1
06/18/2022 12:31:09;0.8047;0.8281;1.9766;28;3.32;55;6.093;1
06/18/2022 13:31:09;0.6719;0.7500;1.2031;28;2.30;55;5.250;1
06/18/2022 14:31:09;0.6797;0.8594;1.6875;29;2.56;55;5.940;1
06/18/2022 15:31:10;0.5781;0.6250;1.4453;29;3.47;55;3.679;1
06/18/2022 16:31:10;0.9297;0.7500;1.3750;15;2.38;55;3.909;0
06/18/2022 17:31:10;0.8984;0.7734;1.7500;29;11.21;55;7.243;1
06/18/2022 18:31:11;0.2578;0.3672;0.8750;29;3.06;57;2.376;1
06/18/2022 19:31:11;0.6641;0.7734;1.1641;28;3.51;54;5.058;1
06/18/2022 20:31:11;0.7266;0.6406;1.3438;28;1.70;54;4.062;1
06/18/2022 21:31:11;0.6016;0.6484;1.0938;28;4.55;55;2.951;1
06/18/2022 22:31:12;0.6563;0.7734;1.4922;28;3.38;55;3.794;1
06/18/2022 23:31:12;0.7109;0.8750;1.5703;29;7.41;55;5.365;1
06/19/2022 00:31:12;0.6875;0.7500;1.0859;28;2.64;54;3.104;1
06/19/2022 01:31:12;0.5703;0.6875;1.3281;29;1.44;54;7.243;1
06/19/2022 02:31:13;0.5625;0.6406;1.2188;28;2.14;54;3.104;1
06/19/2022 03:31:13;0.9063;0.7891;1.3750;28;10.55;54;3.947;1
06/19/2022 04:31:13;0.6797;0.7188;1.3125;28;1.76;54;4.445;1
06/19/2022 05:31:14;0.8281;0.7813;1.4609;28;1.23;54;7.281;1
06/19/2022 06:31:14;0.6563;0.6172;1.1563;28;0.77;54;3.066;1
06/19/2022 07:31:14;0.6484;0.7813;1.4453;29;10.61;53;5.748;1
06/19/2022 08:31:14;0.7891;0.6797;1.4453;28;5.20;54;6.400;1
06/19/2022 09:31:15;0.7109;0.7500;1.1953;29;1.86;54;5.097;1
06/19/2022 10:31:15;0.5547;0.6719;1.3125;28;0.88;54;5.212;1
06/19/2022 11:31:15;0.6875;0.7109;0.9531;28;1.30;54;3.142;1
06/19/2022 12:31:15;0.6406;0.6797;1.3125;28;8.99;55;3.411;1
06/19/2022 13:31:16;0.7031;0.7969;1.3359;28;3.25;55;5.748;1
06/19/2022 14:31:16;0.6484;0.7422;1.3984;28;3.85;55;4.675;2
06/19/2022 15:31:16;0.8203;0.7813;1.1484;28;4.19;55;3.640;1
06/19/2022 16:31:17;0.6250;0.7344;1.4453;29;2.03;55;3.947;1
06/19/2022 17:31:17;0.7109;0.9375;2.0469;28;5.24;55;5.786;1
06/19/2022 18:31:17;0.6484;0.6875;1.3438;28;2.23;55;6.093;1
06/19/2022 19:31:17;0.6641;0.6875;1.1328;12;2.21;55;3.640;0
06/19/2022 20:31:18;0.6563;0.7188;1.4219;13;2.41;55;4.139;1
06/19/2022 21:31:18;0.6484;0.7188;1.7344;12;2.00;55;3.947;0
06/19/2022 22:31:18;0.2500;0.3672;0.9688;29;1.83;56;2.069;1
06/19/2022 23:31:18;0.3125;0.3438;0.8281;30;2.66;55;1.341;1
06/20/2022 00:31:19;0.2188;0.2734;0.7656;30;5.22;55;1.686;1
06/20/2022 01:31:19;0.8359;0.8750;1.6641;30;0.30;53;6.476;1
06/20/2022 02:31:19;0.7891;0.7891;1.6406;29;2.37;54;5.901;1
06/20/2022 03:31:20;0.6797;0.6875;1.9297;30;9.73;54;7.089;1
06/20/2022 04:31:20;0.7813;0.7578;1.7578;29;2.73;54;6.515;1
06/20/2022 05:31:20;0.7891;0.6719;1.3438;30;2.78;54;4.522;1
06/20/2022 06:31:20;0.7656;0.7422;1.4922;30;2.89;54;6.515;1
06/20/2022 07:31:21;0.6953;0.7266;1.3594;29;3.35;54;3.909;1
06/20/2022 08:31:21;0.7109;0.8125;2.0391;29;13.36;55;7.702;1
06/20/2022 09:31:21;0.7344;0.8047;1.7422;30;2.13;55;6.438;1
06/20/2022 10:31:22;0.7969;0.7344;1.3203;30;4.74;55;3.679;1
06/20/2022 11:31:22;0.7969;0.7188;1.5234;29;3.85;55;4.177;1
06/20/2022 12:31:22;0.7266;0.6953;1.6328;30;9.49;55;5.633;1
06/20/2022 18:31:24;0.3594;1.0469;1.4766;30;2.14;51;2.184;1
06/20/2022 19:31:24;0.6875;0.9453;2.1875;30;1.19;51;6.438;1
06/20/2022 20:31:24;0.8203;0.8359;1.5313;29;0.26;53;5.748;1
06/20/2022 21:31:25;0.7344;0.7031;2.0313;29;2.11;54;6.706;1
06/20/2022 22:31:25;0.7656;0.8438;1.7031;29;1.07;54;6.208;1
06/20/2022 23:31:25;0.8984;0.7891;1.1797;30;8.71;55;4.407;1
06/21/2022 00:31:25;1.0313;0.7578;1.2188;29;2.60;55;5.135;1
06/21/2022 01:31:26;0.8359;0.7969;1.5625;30;4.65;54;5.978;1
06/21/2022 02:31:26;0.7969;0.8750;1.6797;29;2.38;54;4.330;1
06/21/2022 03:31:26;0.9219;0.7734;1.3203;29;2.61;54;5.863;1
06/21/2022 04:31:26;0.6641;0.8047;1.5938;29;4.78;54;4.828;1
06/21/2022 05:31:27;0.7891;0.7734;1.8984;30;2.19;54;6.438;1
06/21/2022 06:31:27;0.7734;0.7500;1.7422;29;2.28;54;6.936;1
06/21/2022 07:31:27;0.8359;0.6875;1.4688;29;3.69;54;6.974;1
06/21/2022 08:31:28;0.9219;0.7969;1.8516;30;4.21;54;6.706;1
06/21/2022 09:31:38;0.9063;0.7891;1.5469;30;8.74;54;6.744;1
06/21/2022 10:31:38;0.7578;0.7266;1.4375;16;6.33;54;4.215;1
06/21/2022 17:31:40;0.3203;0.6250;0.8203;29;6.68;48;1.954;1
06/21/2022 18:31:40;0.2813;0.7188;0.8672;30;7.72;47;1.878;1
06/21/2022 19:31:41;0.4141;0.8984;1.2109;30;3.32;48;2.414;1
06/21/2022 21:31:41;0.7500;0.7656;1.4609;30;4.97;51;3.449;1
06/21/2022 22:31:41;0.6953;0.8203;1.6953;17;3.27;52;6.515;1
06/21/2022 23:31:42;0.8438;0.7969;1.4922;16;4.55;53;3.794;1
06/22/2022 00:31:42;0.8438;0.7656;1.6406;30;2.73;53;4.675;1
06/22/2022 01:31:42;0.2891;0.3594;0.6797;29;5.51;54;1.610;1
06/22/2022 02:31:42;0.2656;0.5859;0.9063;29;1.62;53;2.836;1
06/22/2022 03:31:43;0.7891;0.8906;1.9219;29;2.37;51;6.476;1
06/22/2022 04:31:43;0.7734;0.8125;1.6484;30;7.63;52;4.598;1
06/22/2022 05:31:43;0.7656;0.8438;1.7109;30;2.55;52;7.358;1
06/22/2022 06:31:44;0.8203;0.7578;1.5000;30;4.72;51;3.909;1
06/22/2022 07:31:44;0.8984;0.7969;1.8984;30;4.37;52;6.821;1
06/22/2022 08:31:44;0.8047;0.7578;1.6875;30;1.03;52;6.553;1
06/22/2022 09:31:44;0.7344;0.7188;1.6719;30;6.89;53;5.556;1
06/22/2022 10:31:45;0.7031;0.8281;2.0234;30;2.35;54;7.587;1
06/22/2022 11:31:45;0.7422;0.7656;1.5625;30;1.72;54;4.139;1
06/22/2022 12:31:45;0.7813;0.7578;1.5859;30;5.31;54;3.679;1
06/22/2022 13:31:45;0.7188;0.7734;2.0156;31;2.48;54;5.058;1
06/22/2022 14:31:46;0.6719;0.7422;1.7422;30;1.16;55;6.285;0
06/22/2022 15:31:46;0.8516;0.7109;1.9453;31;8.30;55;5.595;1
06/24/2022 11:31:58;0.2578;0.4922;0.8281;29;1.95;47;1.686;1
06/24/2022 12:31:59;0.7734;0.8750;2.1563;29;2.64;47;5.327;1
06/24/2022 13:31:59;0.8125;0.7891;2.0234;29;3.00;48;7.396;2
06/24/2022 14:31:59;1.0547;0.7813;1.5391;29;3.02;50;6.016;1
06/24/2022 15:31:59;0.6484;0.7969;1.4063;29;5.75;51;5.020;1
06/24/2022 16:32:00;1.0156;0.7422;1.2578;29;2.20;51;4.637;1
06/24/2022 17:32:00;0.8359;0.8516;1.6016;28;2.98;51;6.974;1
06/24/2022 18:32:00;0.9688;0.7656;1.4688;29;2.05;52;8.354;1
06/24/2022 19:32:00;0.6953;0.6719;1.4063;29;5.99;52;4.215;1
06/24/2022 20:32:01;0.8672;0.7500;1.2031;29;4.73;52;4.100;1
06/24/2022 21:32:01;0.6953;0.7578;1.7188;29;11.14;52;5.365;1
06/24/2022 22:32:01;0.7656;0.7031;1.2031;29;3.17;52;4.062;1
06/24/2022 23:32:02;0.8203;0.8906;1.4375;29;2.46;52;6.974;1
06/25/2022 00:32:12;0.8438;0.8672;1.4844;29;1.35;52;6.016;1
06/25/2022 01:32:12;0.7734;0.7891;1.5234;29;3.62;52;6.246;1
06/25/2022 02:32:12;0.8984;0.7578;1.4063;29;6.19;52;7.319;0
06/25/2022 03:32:13;0.9766;0.8281;1.5078;29;4.31;52;6.208;0
06/25/2022 04:32:13;1.0078;0.8906;1.7969;29;0.93;52;7.128;1
06/25/2022 05:32:13;0.8984;0.8047;1.3828;29;8.75;52;6.246;1
06/25/2022 06:32:13;0.8672;0.7500;1.6719;29;2.51;52;7.281;1
06/25/2022 07:32:14;0.7422;0.6563;1.1953;28;1.67;53;4.445;1
06/25/2022 08:32:14;0.8594;0.8125;1.5078;28;4.72;53;5.403;1
06/25/2022 09:32:14;0.7813;0.7266;1.2344;28;3.87;53;4.100;1
06/25/2022 10:32:15;0.6328;0.6797;1.6094;28;9.38;53;6.629;1
06/25/2022 11:32:15;0.8281;0.8906;1.9453;28;3.82;53;5.825;2
06/25/2022 12:32:15;0.6953;0.7578;1.2578;28;2.67;54;3.334;1
06/25/2022 13:32:15;0.6406;0.7578;1.7344;29;1.72;54;4.292;1
06/25/2022 14:32:16;0.5859;0.8125;1.6016;29;3.76;54;6.515;1
06/25/2022 15:32:16;0.7031;0.7344;1.6484;28;3.53;55;4.100;1
06/25/2022 16:32:16;0.6953;0.8359;1.7734;28;2.88;55;6.016;1
06/25/2022 17:32:16;0.6328;0.7266;1.4453;28;3.97;55;4.024;1
06/25/2022 18:32:17;0.6406;0.7109;1.8516;29;9.88;55;7.664;1
06/25/2022 19:32:17;0.8047;0.7344;1.6563;28;1.64;55;7.089;1
06/25/2022 20:32:17;0.7891;0.8047;1.7500;28;5.35;55;4.867;1
06/25/2022 21:32:18;0.6875;0.6875;1.3984;28;3.78;55;3.794;1
06/25/2022 22:32:18;0.7422;0.7109;1.4844;28;3.09;54;6.936;1
06/25/2022 23:32:18;0.6719;0.7500;2.1172;28;11.08;54;7.741;1
06/26/2022 00:32:18;0.6328;0.5625;1.3203;29;3.39;54;3.372;1
06/26/2022 01:32:19;0.7969;0.7656;1.7578;29;2.16;54;7.434;1
06/26/2022 02:32:19;0.8203;0.7500;1.8203;28;5.62;54;7.243;1
06/26/2022 03:32:19;0.6797;0.7344;1.8203;28;1.27;54;4.484;2
06/26/2022 04:32:19;0.6563;0.7891;1.4453;28;1.42;54;5.978;1
06/26/2022 05:32:20;0.6328;0.7656;1.9375;21;1.64;54;6.629;1
06/26/2022 06:32:20;0.6719;0.8047;1.6328;30;15.05;54;4.024;1
06/26/2022 07:32:20;0.6719;0.7266;1.4375;29;3.74;54;4.215;1
06/26/2022 10:32:21;0.5547;0.6953;1.1641;29;0.85;55;2.912;1
06/26/2022 11:32:21;1.0156;0.8672;1.5625;29;8.41;54;6.093;1
06/26/2022 12:32:22;0.7969;0.6953;1.3359;29;4.26;54;4.292;1
06/26/2022 13:32:22;0.2422;0.2656;0.6719;29;2.99;56;1.188;1
06/26/2022 14:32:22;0.2813;0.2813;0.6250;29;8.68;55;1.878;1
06/26/2022 15:32:22;0.2578;0.4922;1.2734;29;3.81;54;3.142;1
